,passer_player_name,player_id,total_passing_yards,pass_yds_per_attempt,pass_attempts,passing_tds,first_down_passes,cmp,ints,cmp_percentage,epa,yac_sum,yac_avg,air_epa_avg,yac_epa_avg,air_wpa_avg,yac_wpa_avg,two_pt_sum,sacks,fumbles,fumbles_to_turnovers,td_rate,int_rate,rusher_player_name,rushing_tds,rushing_yds_sum,rushing_yds_avg,fpts
20,D.Prescott,00-0033077,4552.0,11.267326732673267,634.0,30.0,220.0,404.0,10.0,0.637223974763407,0.16826019198605632,2021.0,5.002475247524752,0.5392033075194381,-0.2886219168986377,0.0046600018633167475,0.004404393459884261,3,31.0,4.0,1,0.0473186119873817,0.015772870662460567,D.Prescott,2.0,177.0,3.339622641509434,315.78000000000003
21,G.Minshew,00-0035289,37.0,6.166666666666667,13.0,0.0,2.0,6.0,1.0,0.46153846153846156,-0.4934371559155305,31.0,5.166666666666667,-0.05595208228064222,-0.43748507363488925,-0.004185034678532531,-0.029899929578487677,0,0.0,0.0,0,0.0,0.07692307692307693,G.Minshew,0.0,2.0,0.3333333333333333,-0.32
22,G.Smith,00-0030565,3025.0,10.016556291390728,505.0,19.0,148.0,302.0,17.0,0.598019801980198,-0.1443988238591261,1713.0,5.672185430463577,0.24145570302394914,-0.17867352400704156,-0.0018881364796627174,0.0042425458458252565,1,55.0,1.0,1,0.03762376237623762,0.033663366336633666,G.Smith,0.0,109.0,2.658536585365854,173.9
23,J.Allen,00-0034857,3668.0,11.498432601880877,507.0,25.0,177.0,319.0,10.0,0.6291913214990138,0.12037805049006282,1897.0,5.946708463949843,0.3005256274899833,-0.024121012655463032,0.005127450175698393,0.0018857935826888882,1,40.0,3.0,1,0.04930966469428008,0.01972386587771203,J.Allen,14.0,579.0,5.169642857142857,368.62
24,J.Brissett,00-0033119,3366.0,10.685714285714285,531.0,23.0,165.0,315.0,8.0,0.5932203389830508,-0.011319011417738289,1557.0,4.942857142857143,0.42267567417158625,-0.2554198188181401,0.0020550889113215686,0.0004936844872651079,1,43.0,5.0,4,0.04331450094161959,0.015065913370998116,J.Brissett,1.0,168.0,4.421052631578948,227.44
25,J.Browning,00-0035100,771.0,9.518518518518519,134.0,6.0,33.0,81.0,8.0,0.6044776119402985,-0.3947049521749237,367.0,4.530864197530864,0.31146683886111715,-0.6180082249783673,0.0010413322956734211,-0.005566499183199427,0,9.0,2.0,0,0.04477611940298507,0.05970149253731343,J.Browning,1.0,39.0,4.333333333333333,48.74
26,J.Burrow,00-0036442,1809.0,10.45664739884393,278.0,17.0,100.0,173.0,5.0,0.6223021582733813,0.09914564058539366,818.0,4.728323699421965,0.5121988342359343,-0.3013171214397017,0.005384798806899929,-0.0017169504340515795,0,17.0,1.0,0,0.06115107913669065,0.017985611510791366,J.Burrow,0.0,41.0,2.9285714285714284,134.46
27,J.Daniels,00-0039910,1262.0,11.070175438596491,207.0,8.0,59.0,114.0,3.0,0.5507246376811594,-0.02307727546775092,577.0,5.06140350877193,0.4477693030528688,-0.3327857137796417,0.011142420704392073,-0.00756284023076399,1,18.0,1.0,1,0.03864734299516908,0.014492753623188406,J.Daniels,2.0,278.0,4.793103448275862,116.27999999999999
28,J.Dart,00-0040691,2272.0,10.518518518518519,376.0,15.0,102.0,216.0,5.0,0.574468085106383,-0.021767561998955395,1161.0,5.375,0.47470484717287503,-0.34866331080821555,0.0015297055342196578,0.0003024252597572249,1,35.0,3.0,1,0.0398936170212766,0.013297872340425532,J.Dart,9.0,487.0,5.662790697674419,243.57999999999998
29,J.Fields,00-0036945,1259.0,9.8359375,235.0,7.0,58.0,128.0,1.0,0.5446808510638298,-0.09553882138301124,575.0,4.4921875,0.3069019143058944,-0.22017516284416808,-0.0012820370440053384,0.0006439817432661953,3,27.0,1.0,1,0.029787234042553193,0.00425531914893617,J.Fields,4.0,383.0,5.394366197183099,142.66
30,J.Flacco,00-0026158,2479.0,9.876494023904382,436.0,15.0,115.0,251.0,10.0,0.5756880733944955,-0.1121023354462093,1148.0,4.573705179282869,0.300682249727627,-0.3209523602977336,0.003612229893506224,-0.00447845631615777,2,18.0,4.0,3,0.034403669724770644,0.022935779816513763,J.Flacco,1.0,35.0,1.6666666666666667,146.66
