passer_player_name,player_id,team,total_passing_yards,pass_yds_per_attempt,pass_attempts,passing_tds,first_down_passes,cmp,ints,cmp_percentage,epa,yac_sum,yac_avg,air_epa_avg,yac_epa_avg,air_wpa_avg,yac_wpa_avg,two_pt_sum,sacks,fumbles,fumbles_to_turnovers,td_rate,int_rate,rusher_player_name,rushing_tds,rushing_yds_sum,rushing_yds_avg,cur_fpts,year,next_fpts
R.Cunningham,00-0003761,MIN,1475.0,11.89516129032258,214.0,8.0,71.0,124.0,9.0,0.5794392523364486,-0.038520883053643325,0.0,0.0,0.0,0.0,0.0,0.0,0,15.0,3.0,1,0.037383177570093455,0.04205607476635514,R.Cunningham,0.0,58.0,5.8,76.8,1999,62.86
R.Gannon,00-0005741,LV,3840.0,12.631578947368421,566.0,24.0,195.0,304.0,14.0,0.5371024734982333,0.08855008565052266,72.0,4.8,0.0,0.0,0.0,0.0,1,49.0,6.0,4,0.04240282685512368,0.024734982332155476,R.Gannon,2.0,298.0,6.478260869565218,257.4,1999,298.09999999999997
R.Johnson,00-0008612,BUF,298.0,11.92,35.0,2.0,16.0,25.0,0.0,0.7142857142857143,0.5084878739102615,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0,0.05714285714285714,0.0,R.Johnson,0.0,61.0,7.625,26.020000000000003,1999,142.18
R.Lucas,00-0010137,NYJ,1678.0,10.422360248447205,281.0,14.0,82.0,161.0,6.0,0.5729537366548043,0.09861266095466187,0.0,0.0,0.0,0.0,0.0,0.0,0,11.0,0.0,0,0.0498220640569395,0.021352313167259787,R.Lucas,1.0,144.0,3.5121951219512195,131.52,1999,2.4400000000000004
R.Mirer,00-0011378,NYJ,1062.0,11.178947368421053,200.0,5.0,47.0,95.0,9.0,0.475,-0.11474327857363868,0.0,0.0,0.0,0.0,0.0,0.0,0,22.0,1.0,1,0.025,0.045,R.Mirer,1.0,89.0,4.238095238095238,57.379999999999995,1999,11.04
R.Peete,00-0012732,WAS,107.0,13.375,19.0,2.0,6.0,8.0,1.0,0.42105263157894735,-0.17115909041213995,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,0,0.10526315789473684,0.05263157894736842,R.Peete,0.0,-1.0,-0.5,10.180000000000001,1999,
S.Beuerlein,00-0001218,CAR,4436.0,12.932944606413994,621.0,36.0,208.0,343.0,15.0,0.5523349436392915,0.09437210936078756,89.0,4.45,0.0,0.0,0.0,0.0,0,50.0,8.0,5,0.057971014492753624,0.024154589371980676,S.Beuerlein,2.0,124.0,4.592592592592593,305.84,1999,189.79999999999998
S.Case,00-0002787,BAL,988.0,12.831168831168831,186.0,3.0,42.0,77.0,8.0,0.41397849462365593,-0.2949927636757162,0.0,0.0,0.0,0.0,0.0,0.0,0,17.0,3.0,2,0.016129032258064516,0.043010752688172046,S.Case,3.0,141.0,3.9166666666666665,63.620000000000005,1999,33.82
S.King,00-0009266,TB,875.0,9.831460674157304,158.0,7.0,41.0,89.0,4.0,0.5632911392405063,-0.09246024802625827,0.0,0.0,0.0,0.0,0.0,0.0,0,11.0,3.0,3,0.04430379746835443,0.02531645569620253,S.King,0.0,38.0,2.111111111111111,52.8,1999,220.06
S.Matthews,00-0010560,CHI,1645.0,9.850299401197605,290.0,10.0,85.0,167.0,6.0,0.5758620689655173,-0.07792238520246207,0.0,0.0,0.0,0.0,0.0,0.0,0,13.0,5.0,3,0.034482758620689655,0.020689655172413793,S.Matthews,0.0,31.0,2.2142857142857144,90.89999999999999,1999,40.06
S.McNair,00-0011024,TEN,2179.0,11.6524064171123,348.0,12.0,101.0,187.0,8.0,0.5373563218390804,0.01666464580550231,0.0,0.0,0.0,0.0,0.0,0.0,1,16.0,2.0,1,0.034482758620689655,0.022988505747126436,S.McNair,8.0,337.0,4.680555555555555,200.86,1999,182.18
S.Mitchell,00-0011434,BAL,48.0,6.857142857142857,17.0,0.0,2.0,7.0,2.0,0.4117647058823529,-0.3671114414154951,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0,0.0,0.11764705882352941,S.Mitchell,0.0,1.0,1.0,-1.98,1999,42.74
S.Stenstrom,00-0015627,SF,536.0,9.925925925925926,110.0,0.0,22.0,54.0,4.0,0.4909090909090909,-0.4267773940432416,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0,1.0,0,0.0,0.03636363636363636,S.Stenstrom,0.0,15.0,5.0,14.940000000000001,1999,
S.Walsh,00-0017121,IND,47.0,6.714285714285714,13.0,0.0,2.0,7.0,2.0,0.5384615384615384,-1.6508402069493278,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0,0.0,0.15384615384615385,0,0.0,0.0,0.0,-2.12,1999,
S.Young,00-0018441,SF,446.0,9.911111111111111,91.0,3.0,17.0,45.0,4.0,0.4945054945054945,-0.25060672330703904,0.0,0.0,0.0,0.0,0.0,0.0,0,8.0,1.0,1,0.03296703296703297,0.04395604395604396,S.Young,0.0,57.0,5.181818181818182,25.54,1999,
T.Aikman,00-0000104,DAL,2964.0,11.269961977186313,460.0,17.0,126.0,263.0,12.0,0.5717391304347826,0.03616293075906802,0.0,0.0,0.0,0.0,0.0,0.0,0,19.0,3.0,1,0.03695652173913044,0.02608695652173913,T.Aikman,1.0,10.0,0.47619047619047616,167.56,1999,64.58
T.Banks,00-0000722,BAL,2136.0,12.63905325443787,353.0,17.0,93.0,169.0,8.0,0.47875354107648727,-0.08331642906908406,0.0,0.0,0.0,0.0,0.0,0.0,0,33.0,6.0,5,0.04815864022662889,0.0226628895184136,0,0.0,0.0,0.0,127.44,1999,86.82000000000001
T.Couch,00-0003535,CLE,2447.0,10.973094170403588,455.0,15.0,107.0,223.0,13.0,0.4901098901098901,-0.16461010330222606,35.0,11.666666666666666,0.0,0.0,0.0,0.0,0,56.0,5.0,5,0.03296703296703297,0.02857142857142857,T.Couch,1.0,267.0,6.675,154.57999999999998,1999,73.82
T.Detmer,00-0004230,CLE,548.0,11.659574468085106,95.0,4.0,27.0,47.0,2.0,0.49473684210526314,-0.03156826042778473,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,0.0,0,0.042105263157894736,0.021052631578947368,T.Detmer,1.0,38.0,6.333333333333333,43.72,1999,
T.Dilfer,00-0004293,TB,1619.0,11.08904109589041,270.0,11.0,78.0,146.0,11.0,0.5407407407407407,-0.154033510280317,1.0,1.0,0.0,0.0,0.0,0.0,0,26.0,4.0,4,0.040740740740740744,0.040740740740740744,T.Dilfer,0.0,144.0,4.114285714285714,93.16000000000001,1999,89.58
T.Graziani,00-0006299,ATL,759.0,12.241935483870968,130.0,2.0,37.0,62.0,4.0,0.47692307692307695,-0.18504942912938327,0.0,0.0,0.0,0.0,0.0,0.0,0,12.0,4.0,3,0.015384615384615385,0.03076923076923077,T.Graziani,0.0,11.0,1.2222222222222223,25.46,1999,
T.Tupa,00-0016683,NYJ,165.0,27.5,15.0,2.0,4.0,6.0,0.0,0.4,-0.05489385917801357,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,1.0,1,0.13333333333333333,0.0,T.Tupa,0.0,8.0,4.0,13.4,1999,
V.Testaverde,00-0016193,NYJ,96.0,9.6,15.0,1.0,6.0,10.0,1.0,0.6666666666666666,0.3133318281189225,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.06666666666666667,0.06666666666666667,0,0.0,0.0,0.0,5.84,1999,186.48
A.Brooks,00-0001823,NO,1514.0,13.398230088495575,210.0,9.0,66.0,113.0,6.0,0.5380952380952381,0.10576958100527231,0.0,0.0,0.0,0.0,0.0,0.0,0,15.0,0.0,0,0.04285714285714286,0.02857142857142857,A.Brooks,2.0,170.0,4.146341463414634,113.56,2000,257.08
A.Smith,00-0015082,CIN,1253.0,10.61864406779661,303.0,3.0,58.0,118.0,6.0,0.38943894389438943,-0.3117506411508404,0.0,0.0,0.0,0.0,0.0,0.0,0,36.0,6.0,7,0.009900990099009901,0.019801980198019802,0,0.0,0.0,0.0,36.12,2000,
A.Wright,00-0018272,DAL,237.0,10.772727272727273,66.0,0.0,10.0,22.0,3.0,0.3333333333333333,-0.7545298361586183,0.0,0.0,0.0,0.0,0.0,0.0,0,12.0,3.0,2,0.0,0.045454545454545456,A.Wright,0.0,36.0,3.0,3.0800000000000005,2000,34.86
B.Brister,00-0001785,MIN,82.0,8.2,21.0,0.0,3.0,10.0,1.0,0.47619047619047616,-0.6105935124629449,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0,0.0,0.047619047619047616,B.Brister,0.0,20.0,4.0,3.28,2000,
B.Favre,00-0005106,GB,3812.0,11.278106508875739,615.0,20.0,193.0,338.0,16.0,0.5495934959349593,0.0033416196112937293,0.0,0.0,0.0,0.0,0.0,0.0,2,33.0,11.0,5,0.032520325203252036,0.026016260162601626,B.Favre,0.0,108.0,4.0,205.28,2000,262.44000000000005
B.Griese,00-0006423,DEN,2688.0,12.444444444444445,354.0,19.0,136.0,216.0,4.0,0.6101694915254238,0.2522092103561691,0.0,0.0,0.0,0.0,0.0,0.0,1,17.0,2.0,2,0.05367231638418079,0.011299435028248588,B.Griese,1.0,102.0,3.5172413793103448,189.71999999999997,2000,194.38
B.Huard,00-0007834,SEA,540.0,11.020408163265307,100.0,3.0,27.0,49.0,2.0,0.49,-0.19146713042082117,0.0,0.0,0.0,0.0,0.0,0.0,0,13.0,0.0,0,0.03,0.02,B.Huard,0.0,29.0,5.8,32.5,2000,9.08
B.Johnson,00-0008442,WAS,2505.0,10.986842105263158,383.0,11.0,120.0,228.0,15.0,0.5953002610966057,-0.007620454975226504,0.0,0.0,0.0,0.0,0.0,0.0,0,20.0,7.0,4,0.028720626631853787,0.0391644908616188,B.Johnson,1.0,58.0,2.6363636363636362,117.99999999999999,2000,196.24
